viewDate,areaMunKm,areaUcKm,uc,uf,municipio
12/12/2019,0.13,0,,MT,Peixoto de Azevedo
12/12/2019,0.15,0,,MT,Peixoto de Azevedo
12/12/2019,0.08,0,,MT,Marcelandia
12/12/2019,0.35,0,,MT,Peixoto de Azevedo
12/12/2019,0.18,0,,MT,Peixoto de Azevedo
12/12/2019,0.12,0,,MT,Peixoto de Azevedo
12/12/2019,0.16,0,,MT,Peixoto de Azevedo
12/12/2019,0.07,0,,PA,Anapu
14/12/2019,0.06,0,,AM,Manicore
14/12/2019,0.07,0,,PA,Jacareacanga
14/12/2019,0.07,0,,PA,Jacareacanga
14/12/2019,0.09,0,,PA,Jacareacanga
12/12/2019,0.11,0,,PA,Novo Repartimento
14/12/2019,0.14,0,,RO,Vilhena
14/12/2019,0.37,0,,MT,Comodoro
14/12/2019,0.46,0,,RO,Vilhena
14/12/2019,0.09,0,,RO,Cujubim
14/12/2019,0.06,0,,RO,Corumbiara
14/12/2019,0.06,0.06,ÁREA DE PROTEÇÃO AMBIENTAL DO TAPAJÓS,PA,Itaituba
13/12/2019,0.09,0,,MA,Presidente Sarney
14/12/2019,0.51,0,,MT,Juara
14/12/2019,1.95,0,,MT,Juara
14/12/2019,0.16,0,,MT,Juara
14/12/2019,0.09,0,,MT,Nova Canaa do Norte
14/12/2019,0.53,0,,MT,Nova Bandeirantes
14/12/2019,2.22,0,,MT,Nova Bandeirantes
14/12/2019,0.3,0,,MT,Nova Monte Verde
14/12/2019,0.12,0,,MT,Nova Bandeirantes
14/12/2019,0.09,0,,RR,Caroebe
14/12/2019,0.07,0,,RR,Caroebe
14/12/2019,0.08,0,,RR,Caroebe
14/12/2019,0.1,0,,RR,Rorainopolis
14/12/2019,0.11,0,,RR,Caroebe
14/12/2019,0.24,0,,RR,Rorainopolis
14/12/2019,0.13,0,,RR,Rorainopolis
14/12/2019,0.08,0,,RR,Caracarai
14/12/2019,0,0,,PA,Almeirim
14/12/2019,0.07,0,,PA,Prainha
14/12/2019,0.12,0,,RR,Rorainopolis
15/12/2019,0.2,0,,PA,Sao Felix do Xingu
15/12/2019,0.33,0,,PA,Sao Felix do Xingu
15/12/2019,0.13,0,,PA,Altamira
15/12/2019,0.09,0,,PA,Altamira
